30	0	24741	3
30	0	24504	1
30	0	25552	1
30	0	26285	1
30	0	26976	1
30	0	30128	1
30	0	30129	1
30	0	30133	1
30	0	39871	1
30	0	40650	1
30	0	49652	3
30	0	51169	1
30	0	51522	2
30	0	53415	1
30	0	53946	1
30	0	58809	3
30	0	59648	3
30	0	60003	1
30	0	62880	0
30	0	62973	3
30	0	77196	1
30	0	81115	0
30	0	84777	3
30	0	85215	3
30	0	86246	0
30	0	86250	0
30	0	91491	3
30	0	97370	3
30	0	98962	3
30	0	99805	1
31	0	102143	0
31	0	23493	0
31	0	23662	0
31	0	23905	1
31	0	24338	0
31	0	24566	0
31	0	24978	1
31	0	26094	3
31	0	27046	0
31	0	29011	0
31	0	30724	0
31	0	31859	0
31	0	31861	0
31	0	38071	0
31	0	39929	0
31	0	39938	0
31	0	55570	1
31	0	55616	1
31	0	55698	2
31	0	60985	0
31	0	71125	3
31	0	75906	0
31	0	80408	3
31	0	86307	0
31	0	94366	3
31	0	94649	3
31	0	97562	0
31	0	98586	0
31	0	98903	0
31	0	99237	0
32	0	102143	0
32	0	23493	0
32	0	23905	0
32	0	24338	0
32	0	24566	0
32	0	26094	3
32	0	27046	0
32	0	29011	0
32	0	31859	0
32	0	31861	0
32	0	38071	0
32	0	39929	2
32	0	39938	0
32	0	55698	3
32	0	60985	0
32	0	71125	1
32	0	75906	0
32	0	76021	0
32	0	77216	0
32	0	79475	0
32	0	80408	3
32	0	85621	0
32	0	86289	3
32	0	90689	3
32	0	91530	3
32	0	94366	3
32	0	94649	3
32	0	97562	0
32	0	97620	0
32	0	98586	0
33	0	22513	2
33	0	22984	1
33	0	23915	3
33	0	24018	3
33	0	24093	0
33	0	24441	1
33	0	24506	0
33	0	25834	0
33	0	25835	0
33	0	26119	0
33	0	26279	1
33	0	29264	0
33	0	30452	0
33	0	31200	0
33	0	37986	2
33	0	38146	2
33	0	38593	0
33	0	40203	2
33	0	40204	2
33	0	41043	1
33	0	48337	0
33	0	60821	2
33	0	66263	0
33	0	67994	3
33	0	72786	2
33	0	76313	0
33	0	79517	0
33	0	85172	0
33	0	88193	0
33	0	97370	0
34	0	23635	0
34	0	23749	0
34	0	23998	2
34	0	25551	0
34	0	30138	0
34	0	31258	0
34	0	37853	1
34	0	37854	1
34	0	38057	0
34	0	38839	0
34	0	38926	0
34	0	38977	0
34	0	39414	0
34	0	39417	0
34	0	39475	0
34	0	39769	0
34	0	40203	0
34	0	40376	0
34	0	40591	0
34	0	40697	3
34	0	40795	2
34	0	55616	0
34	0	59646	0
34	0	65583	0
34	0	75354	2
34	0	85020	0
34	0	85235	0
34	0	97215	0
34	0	97398	0
34	0	98296	3
35	0	102365	3
35	0	24109	2
35	0	24506	1
35	0	26094	0
35	0	28730	0
35	0	38149	0
35	0	38808	2
35	0	39541	0
35	0	40775	0
35	0	41044	0
35	0	41124	0
35	0	48183	3
35	0	61879	0
35	0	63135	0
35	0	64444	0
35	0	67854	0
35	0	68749	0
35	0	69490	0
35	0	78820	3
35	0	84539	3
35	0	84567	3
35	0	84770	0
35	0	85176	3
35	0	85216	0
35	0	86427	3
35	0	86668	3
35	0	87539	0
35	0	90387	0
35	0	98329	1
35	0	98552	0
36	0	102363	0
36	0	102365	0
36	0	24437	0
36	0	24438	0
36	0	26094	0
36	0	37901	0
36	0	38080	0
36	0	38149	0
36	0	39414	0
36	0	39747	0
36	0	47287	0
36	0	48182	2
36	0	51532	0
36	0	52724	0
36	0	59180	0
36	0	63135	0
36	0	75392	0
36	0	84539	3
36	0	84770	0
36	0	85596	0
36	0	86337	0
36	0	87091	1
36	0	87371	2
36	0	87539	1
36	0	90208	0
36	0	90387	3
36	0	91918	3
36	0	93529	3
36	0	97747	2
36	0	99592	1
37	0	100552	0
37	0	101759	0
37	0	22970	0
37	0	23439	3
37	0	23513	0
37	0	26102	0
37	0	26662	0
37	0	30236	0
37	0	30751	0
37	0	39166	0
37	0	39354	2
37	0	39376	0
37	0	39685	0
37	0	39861	2
37	0	40244	0
37	0	54475	3
37	0	60331	3
37	0	73084	0
37	0	74736	0
37	0	78374	0
37	0	80062	3
37	0	84754	0
37	0	86462	3
37	0	86463	3
37	0	86989	0
37	0	87671	3
37	0	90428	0
37	0	90429	0
37	0	90730	0
37	0	97829	2
38	0	23931	3
38	0	24983	3
38	0	25546	3
38	0	38977	3
38	0	39523	0
38	0	40000	3
38	0	40646	1
38	0	40825	3
38	0	40830	3
38	0	41115	3
38	0	49327	3
38	0	49694	2
38	0	51064	3
38	0	51541	3
38	0	54150	3
38	0	55700	0
38	0	56891	0
38	0	56923	3
38	0	60811	0
38	0	65253	3
38	0	65614	3
38	0	73086	3
38	0	73095	3
38	0	73980	2
38	0	83515	2
38	0	91474	0
38	0	91916	3
38	0	95389	2
38	0	96971	0
38	0	98902	0
39	0	24083	0
39	0	24109	3
39	0	29028	3
39	0	30233	3
39	0	31296	0
39	0	39474	0
39	0	39547	3
39	0	39779	0
39	0	39817	0
39	0	40386	0
39	0	40866	3
39	0	41018	0
39	0	41026	0
39	0	41124	0
39	0	47307	0
39	0	48181	1
39	0	55567	2
39	0	55600	0
39	0	60298	0
39	0	62882	0
39	0	62899	0
39	0	68749	0
39	0	68750	0
39	0	71123	0
39	0	75984	0
39	0	80415	0
39	0	86279	0
39	0	94559	0
39	0	97583	0
39	0	23679	0
40	0	23662	3
40	0	24112	0
