doc_id	score
40555	15.440446579698586
78314	14.747279370073342
60344	14.019004071001076
85205	13.730308258775734
98172	13.652616465333962
84527	13.336386823896431
26244	13.166903996709847
25950	13.16443243050959
80413	13.134739244226479
60977	13.071928704027199
100399	13.066507661584877
39169	12.738638216499352
25945	12.70802676105883
89812	12.70537539744761
55293	12.60600281680014
87005	12.514010179657602
58808	12.251016581300759
53832	12.237990075592064
39423	12.204837465528511
83508	12.101735139135384
86617	12.072306239847206
30752	12.028721177820229
24108	11.991945886854195
75391	11.792964244131111
84787	11.763341152910256
23487	11.676221752409004
39208	11.543886447195076
40793	11.533516907934212
90837	11.193238461259865
62885	11.10189148211863
37861	11.078475559000038
69488	10.937822783235573
82548	10.768275106195473
51427	10.763617718462013
97629	10.738744819406532
38294	10.530903542284035
40402	10.408442223314308
87664	10.40163251185801
76345	10.336075985673927
39972	10.330373013261818
84542	10.223598444704079
39569	9.890694105867409
84140	9.862001383546852
71118	9.816460812334084
37854	9.79778238559153
40647	9.725545132402443
40546	9.274556124452614
82855	8.962880814317726
37851	8.488401377443337
38770	7.836103880647682
97583	6.382561536976211
38573	6.342667128957576
90442	6.318406023374966
51537	6.306653846296311
94547	6.242269018991668
98066	6.223363538507293
82537	6.175978271171029
66256	6.163362678201735
96748	6.125777298810973
90790	5.93723844039134
56686	5.876497808146983
53378	5.876077695085795
97619	5.869248034898556
52721	5.722150856245603
95560	5.652887680040488
87981	5.561736868707319
97667	5.508914996398688
22720	5.288881907888696
97398	5.149708618286831
81079	5.086473660303895
60807	5.077675338629202
62877	5.064742828313826
40455	5.007499597346739
90223	4.974165102339029
93516	4.951988672318184
87007	4.812225156494037
67990	4.751598023507998
82533	4.726309976722985
24083	4.721573288081091
30928	4.664764904392982
53276	4.6646372678970005
79441	4.6524727799474945
84750	4.650512621828605
37896	4.629036032290686
87371	4.6170748149787535
40161	4.578071362829018
62869	4.5474527175570305
81025	4.479057771074381
68663	4.470288070788925
84124	4.454781990956183
51068	4.371385401150111
86657	4.335415889897531
62414	4.268768196403965
99591	4.243205029563569
39062	4.220665212890573
74736	4.2025379634021744
90382	4.201559742039832
40591	4.0888099263966025
87006	4.042049156205013
86279	3.94959609323295
85159	3.8890479172126775
86472	3.883168428292237
94003	3.8403501568276734
80345	3.8339014246098033
40697	3.806910530197808
84544	3.802683511496116
78661	3.762990122276119
87228	3.760235714683716
86444	3.751311672021052
25951	3.7369850477785356
66342	3.7120073744297266
91834	3.6906727787190543
67203	3.681415815924533
93634	3.6159849113656044
24506	3.5205776723703672
91532	3.4936421790827565
86207	3.46477728996528
39743	3.4432954535803226
84939	3.4220783532793733
73405	3.373758845265356
78862	3.362716676597084
41026	3.300601001132944
87623	3.2600904467376886
84530	3.2566605138514357
51118	3.183008734770152
78844	3.1682854924137738
31348	3.125397117587405
79421	3.0827291423123104
58475	3.0552280265088596
48173	3.0021105615336365
91475	2.9533531574217124
89831	2.9465771597164614
30430	2.820006698480547
38220	2.770577467110756
85633	2.7631263548643727
23979	2.7446727428203905
70883	2.6893531228542424
86464	2.5709132366407474
98174	2.560023175915555
25196	2.4758167737055055
86377	2.428129982072698
73084	2.2972859002264485
87229	2.2837539529843944
84630	2.167635136785074
24983	2.1263625781808613
79442	2.0832475899967156
95383	1.7367346093639766
61207	1.5212448390621638
38923	1.5016785337722964
26359	1.3602253271621845
64444	0.4372235017161985
38949	0.0
97614	0.0
85576	0.0
79901	0.0
72854	0.0
100534	0.0
98533	0.0
24384	0.0
96536	0.0
80354	0.0
97628	0.0
84132	0.0
40170	0.0
51069	0.0
84898	0.0
30483	0.0
56706	0.0
94453	0.0
84126	0.0
82557	0.0
55569	0.0
80340	0.0
38752	0.0
40831	0.0
30468	0.0
25703	0.0
98296	0.0
25717	0.0
40825	0.0
72667	0.0
29105	0.0
85589	0.0
30454	0.0
72673	0.0
97827	0.0
97370	0.0
88536	0.0
90379	0.0
55743	0.0
38593	0.0
51525	0.0
26975	0.0
59179	0.0
37878	0.0
38587	0.0
39841	0.0
88522	0.0
91073	0.0
97364	0.0
62845	0.0
41044	0.0
98719	0.0
54475	0.0
92546	0.0
40400	0.0
40366	0.0
41078	0.0
78821	0.0
86255	0.0
62892	0.0
26008	0.0
38550	0.0
65643	0.0
89833	0.0
74982	0.0
38544	0.0
40399	0.0
62886	0.0
30656	0.0
86282	0.0
98902	0.0
90386	0.0
37887	0.0
30124	0.0
22520	0.0
90392	0.0
86296	0.0
39100	0.0
85600	0.0
95413	0.0
41124	0.0
88324	0.0
87017	0.0
97562	0.0
53246	0.0
85166	0.0
51451	0.0
40548	0.0
37918	0.0
85172	0.0
98645	0.0
90219	0.0
53252	0.0
87003	0.0
75295	0.0
67849	0.0
48672	0.0
97238	0.0
86335	0.0
41118	0.0
84522	0.0
86447	0.0
37924	0.0
94043	0.0
85628	0.0
79493	0.0
84536	0.0
86321	0.0
38342	0.0
79478	0.0
98692	0.0
24019	0.0
38430	0.0
39048	0.0
72539	0.0
25461	0.0
79444	0.0
100871	0.0
23986	0.0
76011	0.0
85199	0.0
76005	0.0
72505	0.0
79450	0.0
73394	0.0
81102	0.0
91477	0.0
48464	0.0
66955	0.0
81116	0.0
70851	0.0
38829	0.0
56100	0.0
68950	0.0
25844	0.0
84734	0.0
40010	0.0
68944	0.0
40776	0.0
75915	0.0
97748	0.0
86645	0.0
65253	0.0
97947	0.0
90796	0.0
60317	0.0
75068	0.0
51860	0.0
75069	0.0
60302	0.0
51861	0.0
97952	0.0
39505	0.0
72712	0.0
90797	0.0
38155	0.0
73424	0.0
100496	0.0
73430	0.0
38141	0.0
69483	0.0
68945	0.0
24583	0.0
25845	0.0
86644	0.0
75914	0.0
50564	0.0
40777	0.0
38814	0.0
68951	0.0
51120	0.0
66954	0.0
48471	0.0
56897	0.0
93275	0.0
70850	0.0
61785	0.0
81117	0.0
99758	0.0
