97670_Q1	0	97670	1
97664_Q1	0	97664	1
22961_Q1	0	22961	1
40882_Q1	0	40882	1
85260_Q1	0	85260	1
79965_Q1	0	79965	1
38087_Q1	0	38087	1
100550_Q1	0	100550	1
26291_Q1	0	26291	1
84630_Q1	0	84630	1
69586_Q1	0	69586	1
25940_Q1	0	25940	1
25798_Q1	0	25798	1
80330_Q1	0	80330	1
96552_Q1	0	96552	1
38911_Q1	0	38911	1
82533_Q1	0	82533	1
40666_Q1	0	40666	1
97658_Q1	0	97658	1
25954_Q1	0	25954	1
54175_Q1	0	54175	1
26285_Q1	0	26285	1
79959_Q1	0	79959	1
84624_Q1	0	84624	1
92046_Q1	0	92046	1
96550_Q1	0	96550	1
97896_Q1	0	97896	1
25942_Q1	0	25942	1
69584_Q1	0	69584	1
69590_Q1	0	69590	1
26287_Q1	0	26287	1
25956_Q1	0	25956	1
81038_Q1	0	81038	1
80326_Q1	0	80326	1
57318_Q1	0	57318	1
40664_Q1	0	40664	1
84140_Q1	0	84140	1
54639_Q1	0	54639	1
85276_Q1	0	85276	1
51027_Q1	0	51027	1
38091_Q1	0	38091	1
99139_Q1	0	99139	1
100546_Q1	0	100546	1
100552_Q1	0	100552	1
100234_Q1	0	100234	1
97666_Q1	0	97666	1
85289_Q1	0	85289	1
39416_Q1	0	39416	1
39370_Q1	0	39370	1
26250_Q1	0	26250	1
29163_Q1	0	29163	1
62412_Q1	0	62412	1
25759_Q1	0	25759	1
80483_Q1	0	80483	1
90690_Q1	0	90690	1
26244_Q1	0	26244	1
78338_Q1	0	78338	1
40857_Q1	0	40857	1
98582_Q1	0	98582	1
25765_Q1	0	25765	1
38052_Q1	0	38052	1
101857_Q1	0	101857	1
54188_Q1	0	54188	1
25771_Q1	0	25771	1
40843_Q1	0	40843	1
57668_Q1	0	57668	1
67973_Q1	0	67973	1
99307_Q1	0	99307	1
52710_Q1	0	52710	1
90445_Q1	0	90445	1
86541_Q1	0	86541	1
49330_Q1	0	49330	1
40466_Q1	0	40466	1
86555_Q1	0	86555	1
99313_Q1	0	99313	1
90451_Q1	0	90451	1
40300_Q1	0	40300	1
26085_Q1	0	26085	1
78847_Q1	0	78847	1
96008_Q1	0	96008	1
39833_Q1	0	39833	1
73084_Q1	0	73084	1
55731_Q1	0	55731	1
85060_Q1	0	85060	1
70599_Q1	0	70599	1
38287_Q1	0	38287	1
75387_Q1	0	75387	1
30630_Q1	0	30630	1
26052_Q1	0	26052	1
86582_Q1	0	86582	1
89869_Q1	0	89869	1
82928_Q1	0	82928	1
77209_Q1	0	77209	1
79542_Q1	0	79542	1
26046_Q1	0	26046	1
39166_Q1	0	39166	1
78674_Q1	0	78674	1
98958_Q1	0	98958	1
72359_Q1	0	72359	1
77221_Q1	0	77221	1
75988_Q1	0	75988	1
23516_Q1	0	23516	1
100387_Q1	0	100387	1
88193_Q1	0	88193	1
26308_Q1	0	26308	1
38136_Q1	0	38136	1
100393_Q1	0	100393	1
96434_Q1	0	96434	1
87539_Q1	0	87539	1
25826_Q1	0	25826	1
31853_Q1	0	31853	1
94545_Q1	0	94545	1
94551_Q1	0	94551	1
25832_Q1	0	25832	1
24292_Q1	0	24292	1
97716_Q1	0	97716	1
87505_Q1	0	87505	1
77184_Q1	0	77184	1
94579_Q1	0	94579	1
66923_Q1	0	66923	1
65594_Q1	0	65594	1
75208_Q1	0	75208	1
96193_Q1	0	96193	1
79432_Q1	0	79432	1
94784_Q1	0	94784	1
82858_Q1	0	82858	1
70416_Q1	0	70416	1
37991_Q1	0	37991	1
31338_Q1	0	31338	1
70402_Q1	0	70402	1
66260_Q1	0	66260	1
79426_Q1	0	79426	1
39002_Q1	0	39002	1
26122_Q1	0	26122	1
86394_Q1	0	86394	1
96187_Q1	0	96187	1
24735_Q1	0	24735	1
31310_Q1	0	31310	1
47286_Q1	0	47286	1
66248_Q1	0	66248	1
93969_Q1	0	93969	1
47292_Q1	0	47292	1
99288_Q1	0	99288	1
40270_Q1	0	40270	1
52674_Q1	0	52674	1
24084_Q1	0	24084	1
37946_Q1	0	37946	1
49240_Q1	0	49240	1
85138_Q1	0	85138	1
82657_Q1	0	82657	1
37952_Q1	0	37952	1
26687_Q1	0	26687	1
80040_Q1	0	80040	1
24090_Q1	0	24090	1
84540_Q1	0	84540	1
94753_Q1	0	94753	1
98141_Q1	0	98141	1
84568_Q1	0	84568	1
69806_Q1	0	69806	1
51427_Q1	0	51427	1
83561_Q1	0	83561	1
81376_Q1	0	81376	1
